timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,channel,B,s,m,values_checked_exact,values_checked_saturated,mismatches,first_mismatch_v,m_rne,delta_from_rne,mismatches_rne,candidates_tried,sat_seed,ref_float_vs_exact_diffs,s_in_range
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,2,48,57,168451551520929,222437,1000004,0,,168451551520929,0,0,1,"default_rng([20260924, 0, 2, 2])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,3,32,42,3234244107,353557,1000004,0,,3234244107,0,0,1,"default_rng([20260924, 0, 2, 3])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,3,40,50,827966491282,353557,1000004,0,,827966491282,0,0,1,"default_rng([20260924, 0, 2, 3])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,3,48,58,211959421768215,353557,1000004,0,,211959421768215,0,0,1,"default_rng([20260924, 0, 2, 3])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,4,32,41,2486453733,229945,1000004,0,,2486453733,0,0,1,"default_rng([20260924, 0, 2, 4])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,4,40,49,636532155654,229945,1000004,0,,636532155654,0,0,1,"default_rng([20260924, 0, 2, 4])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,4,48,57,162952231847358,229945,1000004,0,,162952231847358,0,0,1,"default_rng([20260924, 0, 2, 4])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,5,32,42,3548103421,322283,1000004,0,,3548103421,0,0,1,"default_rng([20260924, 0, 2, 5])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,5,40,50,908314475728,322283,1000004,0,,908314475728,0,0,1,"default_rng([20260924, 0, 2, 5])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,5,48,58,232528505786358,322283,1000004,0,,232528505786358,0,0,1,"default_rng([20260924, 0, 2, 5])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,6,32,42,3739565401,305783,1000004,0,,3739565401,0,0,1,"default_rng([20260924, 0, 2, 6])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,6,40,50,957328742751,305783,1000004,0,,957328742751,0,0,1,"default_rng([20260924, 0, 2, 6])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,6,48,58,245076158144268,305783,1000004,0,,245076158144268,0,0,1,"default_rng([20260924, 0, 2, 6])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,7,32,41,3248152479,176021,1000004,0,,3248152479,0,0,1,"default_rng([20260924, 0, 2, 7])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,7,40,49,831527034670,176021,1000004,0,,831527034670,0,0,1,"default_rng([20260924, 0, 2, 7])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,7,48,57,212870920875422,176021,1000004,0,,212870920875422,0,0,1,"default_rng([20260924, 0, 2, 7])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,8,32,41,2193760594,260623,1000004,0,,2193760594,0,0,1,"default_rng([20260924, 0, 2, 8])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,8,40,49,561602712031,260623,1000004,0,,561602712031,0,0,1,"default_rng([20260924, 0, 2, 8])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,8,48,57,143770294280011,260623,1000004,0,,143770294280011,0,0,1,"default_rng([20260924, 0, 2, 8])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,9,32,42,4274696113,267503,1000004,0,,4274696113,0,0,1,"default_rng([20260924, 0, 2, 9])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,9,40,50,1094322204908,267503,1000004,0,,1094322204908,0,0,1,"default_rng([20260924, 0, 2, 9])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,9,48,58,280146484456350,267503,1000004,0,,280146484456350,0,0,1,"default_rng([20260924, 0, 2, 9])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,10,32,41,2795887035,204495,1000004,0,,2795887035,0,0,1,"default_rng([20260924, 0, 2, 10])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,10,40,49,715747081062,204495,1000004,0,,715747081062,0,0,1,"default_rng([20260924, 0, 2, 10])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,10,48,57,183231252751994,204495,1000004,0,,183231252751994,0,0,1,"default_rng([20260924, 0, 2, 10])",0,True
