timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,channel,B,s,m,values_checked_exact,values_checked_saturated,mismatches,first_mismatch_v,m_rne,delta_from_rne,mismatches_rne,candidates_tried,sat_seed,ref_float_vs_exact_diffs
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,20,32,41,3166839994,180541,1000004,0,,3166839994,0,0,1,"default_rng([20260924, 0, 2, 20])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,21,32,42,4126332894,277121,1000004,0,,4126332894,0,0,1,"default_rng([20260924, 0, 2, 21])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,22,32,41,3307853284,172845,1000004,0,,3307853284,0,0,1,"default_rng([20260924, 0, 2, 22])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,23,32,41,3156790284,181117,1000004,0,,3156790284,0,0,1,"default_rng([20260924, 0, 2, 23])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,24,32,41,3695005783,154735,1000004,0,,3695005783,0,0,1,"default_rng([20260924, 0, 2, 24])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,25,32,41,3384870780,168913,1000004,0,,3384870780,0,0,1,"default_rng([20260924, 0, 2, 25])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,26,32,41,3656442116,156367,1000004,0,,3656442116,0,0,1,"default_rng([20260924, 0, 2, 26])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,27,32,41,2981446786,191767,1000004,0,,2981446786,0,0,1,"default_rng([20260924, 0, 2, 27])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,28,32,41,2534157357,225615,1000004,0,,2534157357,0,0,1,"default_rng([20260924, 0, 2, 28])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,29,32,41,3086094023,185265,1000004,0,,3086094023,0,0,1,"default_rng([20260924, 0, 2, 29])",0
